dispatching_base_number,date,active_vehicles,trips,Day,DayOfWeek,Month,Predicted_Trips
B02512,2015-01-28,235,1438,28,2,1,1500.29
B02617,2015-01-29,1474,12600,29,3,1,13596.57
B02764,2015-01-29,3959,31637,29,3,1,32468.2
B02682,2015-01-29,1316,11485,29,3,1,11358.52
B02765,2015-01-29,295,2086,29,3,1,2060.63
B02512,2015-01-29,250,1687,29,3,1,1932.6
B02598,2015-01-29,1082,9499,29,3,1,9394.52
B02512,2015-01-30,256,2016,30,4,1,1991.66
B02617,2015-01-30,1501,14793,30,4,1,14702.7
B02682,2015-01-30,1384,13852,30,4,1,13917.13
B02764,2015-01-30,4124,39110,30,4,1,39473.73
B02765,2015-01-30,322,2785,30,4,1,2673.17
B02598,2015-01-30,1106,11167,30,4,1,10873.5
B02765,2015-01-31,309,3282,31,5,1,2354.23
B02512,2015-01-31,225,1892,31,5,1,1716.89
B02617,2015-01-31,1394,15756,31,5,1,14271.0
B02682,2015-01-31,1321,15388,31,5,1,12471.04
B02764,2015-01-31,3947,44297,31,5,1,40943.85
B02598,2015-01-31,1027,11642,31,5,1,9703.63
B02598,2015-02-01,961,9499,1,6,2,9236.26
B02682,2015-02-01,1214,12436,1,6,2,12383.57
B02512,2015-02-01,193,1377,1,6,2,1325.28
B02765,2015-02-01,289,2672,1,6,2,2503.88
B02617,2015-02-01,1355,13458,1,6,2,13434.96
B02764,2015-02-01,3740,37468,1,6,2,37036.14
B02617,2015-02-02,1217,12216,2,0,2,11420.76
B02682,2015-02-02,1152,11981,2,0,2,10394.07
B02765,2015-02-02,275,2607,2,0,2,1878.92
B02598,2015-02-02,939,9511,2,0,2,7868.7
B02764,2015-02-02,3270,30761,2,0,2,28512.55
B02512,2015-02-02,227,1904,2,0,2,1701.02
B02765,2015-02-03,299,2410,3,1,2,2270.93
B02598,2015-02-03,991,9602,3,1,2,7997.62
B02512,2015-02-03,257,1915,3,1,2,1906.32
B02764,2015-02-03,3674,31641,3,1,2,31008.57
B02617,2015-02-03,1350,12665,3,1,2,12289.41
B02682,2015-02-03,1269,11955,3,1,2,11541.43
B02764,2015-02-04,3856,29994,4,2,2,30725.82
B02765,2015-02-04,309,2334,4,2,2,2427.53
B02512,2015-02-04,244,1639,4,2,2,1701.11
B02682,2015-02-04,1311,11309,4,2,2,11393.88
B02617,2015-02-04,1393,11959,4,2,2,12168.36
B02598,2015-02-04,1072,9600,4,2,2,9404.6
B02617,2015-02-05,1524,14499,5,3,2,14499.92
B02682,2015-02-05,1418,13782,5,3,2,13814.49
B02598,2015-02-05,1179,11609,5,3,2,11502.66
B02512,2015-02-05,264,2022,5,3,2,1994.53
B02765,2015-02-05,355,3011,5,3,2,3140.41
B02764,2015-02-05,4093,35990,5,3,2,36626.4
B02617,2015-02-06,1526,15417,6,4,2,15427.65
B02765,2015-02-06,385,3569,6,4,2,3370.35
B02598,2015-02-06,1181,11897,6,4,2,11855.31
B02512,2015-02-06,261,1989,6,4,2,2037.98
B02764,2015-02-06,4170,38693,6,4,2,39973.69
B02682,2015-02-06,1414,14375,6,4,2,14319.77
B02598,2015-02-07,1031,10512,7,5,2,9980.11
B02512,2015-02-07,211,1504,7,5,2,1691.71
B02617,2015-02-07,1383,13688,7,5,2,14082.93
B02682,2015-02-07,1300,13450,7,5,2,13025.6
B02764,2015-02-07,3849,38530,7,5,2,37673.19
B02765,2015-02-07,345,3473,7,5,2,3080.11
B02764,2015-02-08,3422,29692,8,6,2,31201.57
B02765,2015-02-08,313,2623,8,6,2,2577.93
B02598,2015-02-08,923,8129,8,6,2,8089.52
B02617,2015-02-08,1256,11004,8,6,2,12954.37
B02682,2015-02-08,1136,10356,8,6,2,10818.73
B02512,2015-02-08,176,1196,8,6,2,1146.21
B02617,2015-02-09,1312,10887,9,0,2,10952.56
B02682,2015-02-09,1241,10209,9,0,2,10524.75
B02598,2015-02-09,976,8135,9,0,2,8283.65
B02764,2015-02-09,3543,28266,9,0,2,30680.29
B02512,2015-02-09,228,1565,9,0,2,1597.01
B02765,2015-02-09,388,2894,9,0,2,3069.6
B02764,2015-02-10,3700,29124,10,1,2,29982.09
B02512,2015-02-10,233,1555,10,1,2,1584.17
B02617,2015-02-10,1364,11401,10,1,2,11845.69
B02765,2015-02-10,422,3432,10,1,2,3292.22
B02682,2015-02-10,1281,10536,10,1,2,11084.35
B02598,2015-02-10,1029,8718,10,1,2,8634.54
B02617,2015-02-11,1450,12749,11,2,2,12648.21
B02764,2015-02-11,3849,31889,11,2,2,30808.19
B02512,2015-02-11,255,1831,11,2,2,1832.18
B02598,2015-02-11,1115,10034,11,2,2,10317.4
B02765,2015-02-11,450,3778,11,2,2,3254.63
B02682,2015-02-11,1396,12189,11,2,2,12236.75
B02617,2015-02-12,1532,14263,12,3,2,14407.34
B02512,2015-02-12,269,2092,12,3,2,1924.53
B02682,2015-02-12,1468,13786,12,3,2,13926.89
B02765,2015-02-12,536,4609,12,3,2,5012.97
B02598,2015-02-12,1181,11640,12,3,2,11473.5
B02764,2015-02-12,4137,36844,12,3,2,37576.88
B02617,2015-02-13,1590,16996,13,4,2,16528.06
B02682,2015-02-13,1523,16088,13,4,2,16058.19
B02764,2015-02-13,4395,43561,13,4,2,43150.45
B02765,2015-02-13,599,5909,13,4,2,5705.08
B02512,2015-02-13,281,2408,13,4,2,2236.05
B02598,2015-02-13,1216,13062,13,4,2,12789.17
B02764,2015-02-14,4129,45858,14,5,2,43643.11
B02512,2015-02-14,236,2055,14,5,2,1874.39
B02598,2015-02-14,1111,12678,14,5,2,12056.11
B02765,2015-02-14,583,6307,14,5,2,6026.05
B02617,2015-02-14,1486,16999,14,5,2,16586.63
B02682,2015-02-14,1428,16448,14,5,2,16003.0
B02682,2015-02-15,1261,14517,15,6,2,13557.61
B02764,2015-02-15,3651,41209,15,6,2,38900.58
B02617,2015-02-15,1293,14662,15,6,2,13545.3
B02765,2015-02-15,521,5500,15,6,2,5493.63
B02512,2015-02-15,210,1996,15,6,2,1760.77
B02598,2015-02-15,1003,11517,15,6,2,9818.72
B02598,2015-02-16,934,9052,16,0,2,8725.84
B02512,2015-02-16,207,1576,16,0,2,1557.36
B02617,2015-02-16,1214,11824,16,0,2,11455.08
B02764,2015-02-16,3524,33448,16,0,2,31609.48
B02682,2015-02-16,1164,11323,16,0,2,10756.11
B02765,2015-02-16,508,4875,16,0,2,5158.96
B02764,2015-02-17,3826,32473,17,1,2,31916.5
B02512,2015-02-17,241,1797,17,1,2,1748.87
B02682,2015-02-17,1314,11887,17,1,2,11724.62
B02617,2015-02-17,1378,12524,17,1,2,12284.36
B02598,2015-02-17,1066,9463,17,1,2,9683.96
B02765,2015-02-17,578,4907,17,1,2,5043.02
B02598,2015-02-18,1078,9538,18,2,2,9624.4
B02682,2015-02-18,1314,11724,18,2,2,11681.56
B02617,2015-02-18,1394,12016,18,2,2,12124.25
B02765,2015-02-18,586,5059,18,2,2,5258.8
B02764,2015-02-18,3842,32317,18,2,2,31432.8
B02512,2015-02-18,228,1589,18,2,2,1594.7
B02598,2015-02-19,1127,11739,19,3,2,11310.02
B02512,2015-02-19,250,2120,19,3,2,2015.1
B02682,2015-02-19,1428,14591,19,3,2,14627.24
B02764,2015-02-19,4110,39110,19,3,2,38079.49
B02765,2015-02-19,663,6447,19,3,2,5978.35
B02617,2015-02-19,1452,14750,19,3,2,14677.34
B02764,2015-02-20,4384,44755,20,4,2,43288.34
B02617,2015-02-20,1574,16856,20,4,2,16390.13
B02598,2015-02-20,1186,12758,20,4,2,12437.72
B02682,2015-02-20,1497,16342,20,4,2,16092.93
B02765,2015-02-20,736,7824,20,4,2,7269.66
B02512,2015-02-20,272,2380,20,4,2,2041.21
B02598,2015-02-21,1044,12132,21,5,2,11419.84
B02682,2015-02-21,1374,16149,21,5,2,15592.69
B02765,2015-02-21,685,7658,21,5,2,7287.06
B02617,2015-02-21,1443,16098,21,5,2,15953.94
B02512,2015-02-21,238,2149,21,5,2,2051.93
B02764,2015-02-21,3981,44194,21,5,2,38677.33
B02512,2015-02-22,199,1312,22,6,2,1372.72
B02617,2015-02-22,1248,10696,22,6,2,11688.28
B02682,2015-02-22,1220,10970,22,6,2,12147.12
B02764,2015-02-22,3478,30157,22,6,2,31622.7
B02598,2015-02-22,909,8271,22,6,2,8277.43
B02765,2015-02-22,566,5034,22,6,2,5707.67
B02598,2015-02-23,966,8943,23,0,2,8787.82
B02617,2015-02-23,1332,11720,23,0,2,11515.68
B02764,2015-02-23,3734,31173,23,0,2,30961.73
B02682,2015-02-23,1262,11714,23,0,2,11374.62
B02765,2015-02-23,665,5823,23,0,2,5956.78
B02512,2015-02-23,238,1844,23,0,2,1752.08
B02764,2015-02-24,3965,34686,24,1,2,33631.37
B02512,2015-02-24,247,1869,24,1,2,1805.64
B02598,2015-02-24,1061,9954,24,1,2,9675.23
B02682,2015-02-24,1346,12497,24,1,2,11798.93
B02617,2015-02-24,1456,13719,24,1,2,13425.07
B02765,2015-02-24,698,6390,24,1,2,6259.8
B02512,2015-02-25,246,1647,25,2,2,1688.37
B02598,2015-02-25,1076,9405,25,2,2,9385.89
B02765,2015-02-25,706,6178,25,2,2,6575.12
B02682,2015-02-25,1395,12693,25,2,2,12583.63
B02617,2015-02-25,1473,12811,25,2,2,12902.54
B02764,2015-02-25,3934,31957,25,2,2,32434.81
B02598,2015-02-26,1134,10661,26,3,2,10646.19
B02617,2015-02-26,1539,14461,26,3,2,14534.8
B02682,2015-02-26,1465,13814,26,3,2,14200.61
B02512,2015-02-26,243,1797,26,3,2,1748.35
B02765,2015-02-26,745,6744,26,3,2,6720.22
B02764,2015-02-26,4101,36091,26,3,2,36872.88
B02765,2015-02-27,786,7563,27,4,2,7039.51
B02617,2015-02-27,1551,14677,27,4,2,15160.7
B02598,2015-02-27,1114,10755,27,4,2,10930.87
B02512,2015-02-27,272,2056,27,4,2,2024.29
B02764,2015-02-27,4253,38780,27,4,2,40014.17
B02682,2015-02-27,1510,14975,27,4,2,15182.67
B02598,2015-02-28,994,10319,28,5,2,9869.9
B02764,2015-02-28,3952,39812,28,5,2,39077.96
B02617,2015-02-28,1372,14022,28,5,2,14672.58
B02682,2015-02-28,1386,14472,28,5,2,14633.02
B02512,2015-02-28,230,1803,28,5,2,1740.24
B02765,2015-02-28,747,7753,28,5,2,7425.76
